"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Stable Angina",NA,"Angina control - stable",NA,191,"Diseases of the Circulatory System",2,"855991000006115","855991000006104","855991000006115","termsearch"
NA,"Stable Angina",NA,"Angina control - unsatisfactory",NA,191,"Diseases of the Circulatory System",2,"856011000006116","856011000006100","856011000006116","termsearch"
NA,"Stable Angina",NA,"Anginal Control: No attacks",NA,191,"Diseases of the Circulatory System",2,"482961000006115","482961000006104","482961000006115","termsearch"
NA,"Stable Angina",NA,"Anginal pain",NA,191,"Diseases of the Circulatory System",2,"960181000006111","960181000006107","960181000006111","termsearch"
NA,"Stable Angina",NA,"Angioplasty of coronary artery",NA,191,"Diseases of the Circulatory System",2,"865281000006115","14201006","865281000006115","termsearch"
NA,"Stable Angina",NA,"Angioplasty of coronary artery",NA,191,"Diseases of the Circulatory System",2,"933021000006113","582911000000104","933021000006113","termsearch"
NA,"Stable Angina",NA,"Aorto-coronary by-pass anastam",NA,191,"Diseases of the Circulatory System",2,"865321000006114","582901000000101","865321000006114","termsearch"
NA,"Stable Angina",NA,"Coronary A by-pass anastam NOS",NA,191,"Diseases of the Circulatory System",2,"865261000006113","591161000000105","865261000006113","termsearch"
NA,"Stable Angina",NA,"Coronary A revasc. by-pass",NA,191,"Diseases of the Circulatory System",2,"865201000006112","175036008","865201000006112","termsearch"
NA,"Stable Angina",NA,"Coronary Angioplasty",NA,191,"Diseases of the Circulatory System",2,"865291000006117","11101003","865291000006117","termsearch"
NA,"Stable Angina",NA,"Coronary artery bypass grafts x 3",NA,191,"Diseases of the Circulatory System",2,"5040181000006110","232721002","348651013","termsearch"
NA,"Stable Angina",NA,"Coronary artery bypass grafts x 4",NA,191,"Diseases of the Circulatory System",2,"5040211000006114","232722009","348655016","termsearch"
NA,"Stable Angina",NA,"Coronary artery venous graft",NA,191,"Diseases of the Circulatory System",2,"865181000006111","3546002","865181000006111","termsearch"
NA,"Stable Angina",NA,"Int.mammary coronary A by-pass",NA,191,"Diseases of the Circulatory System",2,"865221000006119","588811000000108","865221000006119","termsearch"
NA,"Stable Angina",NA,"Percutaneous angioplasty of subclavian artery",NA,191,"Diseases of the Circulatory System",2,"4667261000006119","175454003","271652019","termsearch"
NA,"Stable Angina",NA,"[RFC] Angina",NA,191,"Diseases of the Circulatory System",2,"905381000006117","905381000006101","905381000006117","termsearch"
"","Stable Angina","","allograft replacement of coronary artery","CABG Performed (2)",191,"Diseases of the Circulatory System",2,"11923031000006113","175021005","271088013","originalreadcode"
"","Stable Angina","","connection of mammary artery to coronary artery nos","CABG Performed (2)",191,"Diseases of the Circulatory System",2,"12721581000006110","588811000000108","1305791000000117","originalreadcode"
"","Stable Angina","","connection of other thoracic artery to coronary artery","CABG Performed (2)",191,"Diseases of the Circulatory System",2,"12732911000006117","581151000000108","1290111000000113","originalreadcode"
"","Stable Angina","","connection of other thoracic artery to coronary artery nos","CABG Performed (2)",191,"Diseases of the Circulatory System",2,"12722161000006118","596331000000108","1321591000000119","originalreadcode"
"","Stable Angina","","coronary arteriograph.abnormal","Results abnormal (3)",191,"Diseases of the Circulatory System",2,"12484511000006116","168939002","262247015","originalreadcode"
