"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Stroke_not otherwise specified",NA,"Stroke",NA,192,"Diseases of the Circulatory System",2,"884531000006117","685631000000102","884531000006117","termsearch"
NA,"Stroke_not otherwise specified",NA,"Stroke/CVA - undefined",NA,192,"Diseases of the Circulatory System",2,"884521000006115","685631000000102","884521000006115","termsearch"
NA,"Stroke_not otherwise specified",NA,"[RFC] CVA",NA,192,"Diseases of the Circulatory System",2,"909171000006115","909171000006104","909171000006115","termsearch"
NA,"Stroke_not otherwise specified",NA,"[RFC] Stroke",NA,192,"Diseases of the Circulatory System",2,"907591000006116","907591000006100","907591000006116","termsearch"
NA,"Stroke_not otherwise specified",NA,"[RFC] Stroke",NA,192,"Diseases of the Circulatory System",2,"908801000006114","908801000006105","908801000006114","termsearch"
NA,"Stroke_not otherwise specified",NA,"[RFC] Stroke/CVA",NA,192,"Diseases of the Circulatory System",2,"907581000006119","907581000006103","907581000006119","termsearch"
"","Stroke_not otherwise specified","","central post-stroke pain","History of Stroke NOS",192,"Diseases of the Circulatory System",2,"1726581000006116","1726581000006100","1726581000006116","originalreadcode"
"","Stroke_not otherwise specified","","stroke and cerebrovascular accident unspecified","Diagnosis of Stroke NOS",192,"Diseases of the Circulatory System",2,"12727691000006117","685631000000102","1501361000000113","originalreadcode"
"1M4..00","Stroke_not otherwise specified","100639","Central post-stroke pain","History of Stroke NOS",192,"Diseases of the Circulatory System",2,"413750011","277286006","413750011","cleansedreadcode"
"661M700","Stroke_not otherwise specified","107195","Stroke self-management plan agreed","History of Stroke NOS",192,"Diseases of the Circulatory System",2,"2118011000000114","812041000000104","2118011000000114","cleansedreadcode"
"661N700","Stroke_not otherwise specified","109743","Stroke self-management plan review","History of Stroke NOS",192,"Diseases of the Circulatory System",2,"2115821000000118","810991000000109","2115821000000118","cleansedreadcode"
"662M.00","Stroke_not otherwise specified","10792","Stroke monitoring","History of Stroke NOS",192,"Diseases of the Circulatory System",2,"264499015","170600009","264499015","cleansedreadcode"
"662M100","Stroke_not otherwise specified","105100","Stroke 6 month review","History of Stroke NOS",192,"Diseases of the Circulatory System",2,"1160471000000111","519751000000106","1160471000000111","cleansedreadcode"
"662M200","Stroke_not otherwise specified","104505","Stroke initial post discharge review","History of Stroke NOS",192,"Diseases of the Circulatory System",2,"2127781000000110","816561000000108","2127781000000110","cleansedreadcode"
"662e.00","Stroke_not otherwise specified","18686","Stroke/CVA annual review","History of Stroke NOS",192,"Diseases of the Circulatory System",2,"1780304018","699270006","2983515011","cleansedreadcode"
"662e.11","Stroke_not otherwise specified","107886","Stroke annual review","History of Stroke NOS",192,"Diseases of the Circulatory System",2,"2126181000000114","699270006","2983500010","cleansedreadcode"
"7P24200","Stroke_not otherwise specified","55351","Delivery of rehabilitation for stroke","History of Stroke NOS",192,"Diseases of the Circulatory System",2,"371641000000112","231231000000107","371641000000112","cleansedreadcode"
"8HHM.00","Stroke_not otherwise specified","56458","Ref to multidisciplinary stroke function improvement service","History of Stroke NOS",192,"Diseases of the Circulatory System",2,"966981000006112","112901000000108","199461000000113","cleansedreadcode"
"8IEC.00","Stroke_not otherwise specified","104638","Ref multidisciplinary stroke function improvement declined","History of Stroke NOS",192,"Diseases of the Circulatory System",2,"1784651000006110","781731000000103","1747751000000110","cleansedreadcode"
"9h2..00","Stroke_not otherwise specified","10962","Exception reporting: stroke quality indicators","History of Stroke NOS",192,"Diseases of the Circulatory System",2,"138981000000113","716331000000108","1568881000000119","cleansedreadcode"
"9h21.00","Stroke_not otherwise specified","11039","Excepted from stroke quality indicators: Patient unsuitable","History of Stroke NOS",192,"Diseases of the Circulatory System",2,"139081000000117","716581000000101","1569131000000118","cleansedreadcode"
"9h22.00","Stroke_not otherwise specified","11074","Excepted from stroke quality indicators: Informed dissent","History of Stroke NOS",192,"Diseases of the Circulatory System",2,"139091000000115","716021000000109","1568581000000116","cleansedreadcode"
"Fyu5600","Stroke_not otherwise specified","93459","[X]Other lacunar syndromes","Diagnosis of Stroke NOS",192,"Diseases of the Circulatory System",2,"299342019","230698000","345651012","cleansedreadcode"
"G66..00","Stroke_not otherwise specified","1469","Stroke and cerebrovascular accident unspecified","Diagnosis of Stroke NOS",192,"Diseases of the Circulatory System",2,"405339016","230690007","345637012","cleansedreadcode"
"G66..11","Stroke_not otherwise specified","1298","CVA unspecified","Diagnosis of Stroke NOS",192,"Diseases of the Circulatory System",2,"605501000006117","230690007","345637012","cleansedreadcode"
"G66..12","Stroke_not otherwise specified","6253","Stroke unspecified","Diagnosis of Stroke NOS",192,"Diseases of the Circulatory System",2,"122401000006115","230690007","345637012","cleansedreadcode"
"G66..13","Stroke_not otherwise specified","6116","CVA - Cerebrovascular accident unspecified","Diagnosis of Stroke NOS",192,"Diseases of the Circulatory System",2,"605491000006113","230690007","345635016","cleansedreadcode"
"G663.00","Stroke_not otherwise specified","8443","Brain stem stroke syndrome","Diagnosis of Stroke NOS",192,"Diseases of the Circulatory System",2,"524511000006116","195212005","300365015","cleansedreadcode"
"G664.00","Stroke_not otherwise specified","17322","Cerebellar stroke syndrome","Diagnosis of Stroke NOS",192,"Diseases of the Circulatory System",2,"300366019","195213000","300366019","cleansedreadcode"
"G665.00","Stroke_not otherwise specified","33499","Pure motor lacunar syndrome","Diagnosis of Stroke NOS",192,"Diseases of the Circulatory System",2,"345655015","230699008","345655015","cleansedreadcode"
"G666.00","Stroke_not otherwise specified","51767","Pure sensory lacunar syndrome","Diagnosis of Stroke NOS",192,"Diseases of the Circulatory System",2,"345658018","230700009","345658018","cleansedreadcode"
"G667.00","Stroke_not otherwise specified","7780","Left sided CVA","Diagnosis of Stroke NOS",192,"Diseases of the Circulatory System",2,"300370010","195216008","300370010","cleansedreadcode"
"G668.00","Stroke_not otherwise specified","12833","Right sided CVA","Diagnosis of Stroke NOS",192,"Diseases of the Circulatory System",2,"300371014","195217004","300371014","cleansedreadcode"
"G68X.00","Stroke_not otherwise specified","6228","Sequelae of stroke,not specfd as h'morrhage or infarction","History of Stroke NOS",192,"Diseases of the Circulatory System",2,"149571000006118","195239002","300403014","cleansedreadcode"
"Gyu6C00","Stroke_not otherwise specified","110337","[X]Sequelae of stroke,not specfd as h'morrhage or infarction","History of Stroke NOS",192,"Diseases of the Circulatory System",2,"426321000006116","195239002","300403014","cleansedreadcode"
"L440.11","Stroke_not otherwise specified","47607","CVA - cerebrovascular accident in the puerperium","Diagnosis of Stroke NOS",192,"Diseases of the Circulatory System",2,"605481000006110","275434003","411416011","cleansedreadcode"
"L440.12","Stroke_not otherwise specified","56279","Stroke in the puerperium","Diagnosis of Stroke NOS",192,"Diseases of the Circulatory System",2,"411416011","275434003","411416011","cleansedreadcode"
