"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"G60..00","Subarachnoid haemorrhage","1786","Subarachnoid haemorrhage","Diagnosis of subarachnoid ahemorrhage",193,"Diseases of the Circulatory System",2,"481028017","21454007","481028017","cleansedreadcode"
"G600.00","Subarachnoid haemorrhage","29939","Ruptured berry aneurysm","Diagnosis of subarachnoid ahemorrhage",193,"Diseases of the Circulatory System",2,"300242011","195154000","300242011","cleansedreadcode"
"G601.00","Subarachnoid haemorrhage","56007","Subarachnoid haemorrhage from carotid siphon and bifurcation","Diagnosis of subarachnoid ahemorrhage",193,"Diseases of the Circulatory System",2,"300244012","195155004","300244012","cleansedreadcode"
"G602.00","Subarachnoid haemorrhage","19412","Subarachnoid haemorrhage from middle cerebral artery","Diagnosis of subarachnoid ahemorrhage",193,"Diseases of the Circulatory System",2,"123511000006114","21454007","36011016","cleansedreadcode"
"G603.00","Subarachnoid haemorrhage","42331","Subarachnoid haemorrhage from anterior communicating artery","Diagnosis of subarachnoid ahemorrhage",193,"Diseases of the Circulatory System",2,"123481000006118","21454007","36011016","cleansedreadcode"
"G604.00","Subarachnoid haemorrhage","9696","Subarachnoid haemorrhage from posterior communicating artery","Diagnosis of subarachnoid ahemorrhage",193,"Diseases of the Circulatory System",2,"123521000006118","21454007","36011016","cleansedreadcode"
"G605.00","Subarachnoid haemorrhage","41910","Subarachnoid haemorrhage from basilar artery","Diagnosis of subarachnoid ahemorrhage",193,"Diseases of the Circulatory System",2,"123491000006115","276284000","412361011","cleansedreadcode"
"G606.00","Subarachnoid haemorrhage","60692","Subarachnoid haemorrhage from vertebral artery","Diagnosis of subarachnoid ahemorrhage",193,"Diseases of the Circulatory System",2,"300253017","195160000","300253017","cleansedreadcode"
"G60X.00","Subarachnoid haemorrhage","17326","Subarachnoid haemorrh from intracranial artery, unspecif","Diagnosis of subarachnoid ahemorrhage",193,"Diseases of the Circulatory System",2,"123441000006112","21454007","481028017","cleansedreadcode"
"G60z.00","Subarachnoid haemorrhage","23580","Subarachnoid haemorrhage NOS","Diagnosis of subarachnoid ahemorrhage",193,"Diseases of the Circulatory System",2,"300257016","21454007","481028017","cleansedreadcode"
"G680.00","Subarachnoid haemorrhage","44740","Sequelae of subarachnoid haemorrhage","History of subarachnoid ahemorrhage",193,"Diseases of the Circulatory System",2,"300406018","195240000","300406018","cleansedreadcode"
"Gyu6000","Subarachnoid haemorrhage","108668","[X]Subarachnoid haemorrhage from other intracranial arteries","Diagnosis of subarachnoid ahemorrhage",193,"Diseases of the Circulatory System",2,"300935019","21454007","36011016","cleansedreadcode"
"Gyu6100","Subarachnoid haemorrhage","65745","[X]Other subarachnoid haemorrhage","Diagnosis of subarachnoid ahemorrhage",193,"Diseases of the Circulatory System",2,"300936018","21454007","481028017","cleansedreadcode"
"Gyu6E00","Subarachnoid haemorrhage","108630","[X]Subarachnoid haemorrh from intracranial artery, unspecif","Diagnosis of subarachnoid ahemorrhage",193,"Diseases of the Circulatory System",2,"428181000006115","21454007","481028017","cleansedreadcode"
