"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Substance Misuse",NA,"Adverse reaction to Drugs used in Substance Dependence",NA,194,"Mental Health Disorders",11,"1012911000006111","1012911000006107","1012911000006111","termsearch"
NA,"Substance Misuse",NA,"Counseling for substance abuse",NA,194,"Mental Health Disorders",11,"6025041000006113","313071005","2692464014","termsearch"
NA,"Substance Misuse",NA,"Counselling for substance abuse",NA,194,"Mental Health Disorders",11,"6025051000006110","313071005","2695598010","termsearch"
NA,"Substance Misuse",NA,"Currently injecting drugs",NA,194,"Mental Health Disorders",11,"968671000006118","968671000006102","968671000006118","termsearch"
NA,"Substance Misuse",NA,"Hypodermic drug injection",NA,194,"Mental Health Disorders",11,"877631000006115","637591000000102","877631000006115","termsearch"
NA,"Substance Misuse",NA,"Intramuscular drug injection",NA,194,"Mental Health Disorders",11,"877611000006114","265761001","877611000006114","termsearch"
NA,"Substance Misuse",NA,"Mental and behav dis due to use alcohol: dependence syndr, currently abstinent",NA,194,"Mental Health Disorders",11,"1973701000006119","1973701000006103","1973701000006119","termsearch"
NA,"Substance Misuse",NA,"Mental and behav dis due to use alcohol: dependence syndr, episodic use [dipsomania]",NA,194,"Mental Health Disorders",11,"1974141000006118","1974141000006102","1974141000006118","termsearch"
NA,"Substance Misuse",NA,"Mental and behav dis due to use opioids: dependence syndr, continuous use",NA,194,"Mental Health Disorders",11,"1976611000006118","1976611000006102","1976611000006118","termsearch"
NA,"Substance Misuse",NA,"Misuse of Cannabis herbal",NA,194,"Mental Health Disorders",11,"968691000006117","968691000006101","968691000006117","termsearch"
NA,"Substance Misuse",NA,"Misuse of Cannabis herbal (skunk)",NA,194,"Mental Health Disorders",11,"968731000006113","968731000006109","968731000006113","termsearch"
NA,"Substance Misuse",NA,"Misuse of Cannabis resin",NA,194,"Mental Health Disorders",11,"968711000006119","968711000006103","968711000006119","termsearch"
NA,"Substance Misuse",NA,"Misuse of Cannabis unspecified",NA,194,"Mental Health Disorders",11,"968681000006115","968681000006104","968681000006115","termsearch"
NA,"Substance Misuse",NA,"Misuse of Cocaine freebase (crack)",NA,194,"Mental Health Disorders",11,"969781000006115","969781000006104","969781000006115","termsearch"
NA,"Substance Misuse",NA,"Misuse of Cocaine unspecified",NA,194,"Mental Health Disorders",11,"969761000006113","969761000006109","969761000006113","termsearch"
NA,"Substance Misuse",NA,"Misuse of Heroin illicit",NA,194,"Mental Health Disorders",11,"968761000006116","968761000006100","968761000006116","termsearch"
NA,"Substance Misuse",NA,"Misuse of Opiate compound analgesics",NA,194,"Mental Health Disorders",11,"969331000006115","969331000006104","969331000006115","termsearch"
NA,"Substance Misuse",NA,"Misuse of Opiate containing mixture",NA,194,"Mental Health Disorders",11,"969261000006119","969261000006103","969261000006119","termsearch"
NA,"Substance Misuse",NA,"Misuse of Opiates unspecified",NA,194,"Mental Health Disorders",11,"969011000006112","969011000006108","969011000006112","termsearch"
NA,"Substance Misuse",NA,"Misuse of other Opiates",NA,194,"Mental Health Disorders",11,"969391000006116","969391000006100","969391000006116","termsearch"
NA,"Substance Misuse",NA,"Morphine/cocaine dependence",NA,194,"Mental Health Disorders",11,"882501000006119","191816009","882501000006119","termsearch"
NA,"Substance Misuse",NA,"Opioid analgesic dependence",NA,194,"Mental Health Disorders",11,"2639961000000113","1047881000000106","2639961000000113","termsearch"
