"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"D104.00","Thalassaemia","1171","Thalassaemia","Diagnosis of Thalassaemia",196,"Haematological/Immunological conditions",9,"492446019","40108008","492446019","cleansedreadcode"
"D104.12","Thalassaemia","105439","Mediterranean anaemia","Diagnosis of Thalassaemia",196,"Haematological/Immunological conditions",9,"711521000006117","40108008","492446019","cleansedreadcode"
"D104000","Thalassaemia","31405","Thalassaemia major NEC","Diagnosis of Thalassaemia",196,"Haematological/Immunological conditions",9,"399206011","75451007","503017017","cleansedreadcode"
"D104011","Thalassaemia","45151","Thalassaemia major - Cooley's anaemia","Diagnosis of Thalassaemia",196,"Haematological/Immunological conditions",9,"110881000006115","26682008","483318012","cleansedreadcode"
"D104200","Thalassaemia","54429","Thalassaemia with haemoglobin S disease","Diagnosis of Thalassaemia",196,"Haematological/Immunological conditions",9,"474030011","127041004","474030011","cleansedreadcode"
"D104211","Thalassaemia","31075","Sickle-cell thalassaemia","Diagnosis of Thalassaemia",196,"Haematological/Immunological conditions",9,"141261000006112","127041004","474028014","cleansedreadcode"
"D104300","Thalassaemia","8866","Alpha thalassaemia","Diagnosis of Thalassaemia",196,"Haematological/Immunological conditions",9,"501134015","68913001","501132016","cleansedreadcode"
"D104311","Thalassaemia","37808","Homozygous alpha thalassaemia","Diagnosis of Thalassaemia",196,"Haematological/Immunological conditions",9,"351150014","234383000","351150014","cleansedreadcode"
"D104600","Thalassaemia","57144","Beta intermedia thalassaemia","Diagnosis of Thalassaemia",196,"Haematological/Immunological conditions",9,"510081000006116","191189009","294036013","cleansedreadcode"
"D104700","Thalassaemia","46733","Beta major thalassaemia","Diagnosis of Thalassaemia",196,"Haematological/Immunological conditions",9,"510091000006118","26682008","483318012","cleansedreadcode"
"D104811","Thalassaemia","21643","Beta thalassaemia","Diagnosis of Thalassaemia",196,"Haematological/Immunological conditions",9,"500268011","65959000","500268011","cleansedreadcode"
"D104900","Thalassaemia","32943","Delta-beta thalassaemia","Diagnosis of Thalassaemia",196,"Haematological/Immunological conditions",9,"477758018","16360009","477758018","cleansedreadcode"
"D104A00","Thalassaemia","71992","Hereditary leptocytosis","Diagnosis of Thalassaemia",196,"Haematological/Immunological conditions",9,"1229603011","40108008","1229603011","cleansedreadcode"
"D104z00","Thalassaemia","4666","Thalassaemia NOS","Diagnosis of Thalassaemia",196,"Haematological/Immunological conditions",9,"399209016","40108008","492446019","cleansedreadcode"
"D104z11","Thalassaemia","66137","Mediterranean anaemia","Diagnosis of Thalassaemia",196,"Haematological/Immunological conditions",9,"711531000006119","40108008","492446019","cleansedreadcode"
"Dyu1100","Thalassaemia","73946","[X]Other thalassaemias","Diagnosis of Thalassaemia",196,"Haematological/Immunological conditions",9,"294586010","40108008","492446019","cleansedreadcode"
"","Thalassaemia","","alpha thalassaemia","Diagnosis of Thalassaemia",196,"Haematological/Immunological conditions",9,"3620681000006118","68913001","501134015","originalreadcode"
"","Thalassaemia","","beta thalassaemia","Diagnosis of Thalassaemia",196,"Haematological/Immunological conditions",9,"3572551000006118","65959000","500269015","originalreadcode"
