"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"","Thrombophilia","","lupus anticoagulant positive","Diagnosis of Thrombophilia",197,"Haematological/Immunological conditions",9,"1858421000006115","1858421000006104","1858421000006115","originalreadcode"
"42Qc.00","Thrombophilia","23134","Plasma activated protein C resistance","Diagnosis of Thrombophilia",197,"Haematological/Immunological conditions",9,"257494018","993351000000100","2554781000000111","cleansedreadcode"
"42Qe.00","Thrombophilia","8674","Factor V Leiden genotype","Diagnosis of Thrombophilia",197,"Haematological/Immunological conditions",9,"257497013","993371000000109","2567831000000115","cleansedreadcode"
"42jH.00","Thrombophilia","30873","Activated protein C with factor V deficient plasma","Diagnosis of Thrombophilia",197,"Haematological/Immunological conditions",9,"927311000006111","999311000000101","2555611000000111","cleansedreadcode"
"43GE100","Thrombophilia","107447","Lupus anticoagulant positive","Diagnosis of Thrombophilia",197,"Haematological/Immunological conditions",9,"2267501000000115","878791000000101","2267501000000115","cleansedreadcode"
"D303700","Thrombophilia","25971","Factor V Leiden mutation","Diagnosis of Thrombophilia",197,"Haematological/Immunological conditions",9,"450270016","307091009","450270016","cleansedreadcode"
"D303800","Thrombophilia","44146","Homozygous factor V Leiden mutation","Diagnosis of Thrombophilia",197,"Haematological/Immunological conditions",9,"450295015","307115002","450295015","cleansedreadcode"
"D303900","Thrombophilia","32933","Heterozygous factor V Leiden mutation","Diagnosis of Thrombophilia",197,"Haematological/Immunological conditions",9,"450296019","307116001","450296019","cleansedreadcode"
"D309.00","Thrombophilia","8479","Protein S deficiency","Diagnosis of Thrombophilia",197,"Haematological/Immunological conditions",9,"1221214016","1563006","1221214016","cleansedreadcode"
"D30A.00","Thrombophilia","7516","Thrombophilia","Diagnosis of Thrombophilia",197,"Haematological/Immunological conditions",9,"351300013","234467004","351300013","cleansedreadcode"
"D30A000","Thrombophilia","105875","Primary thrombophilia","Diagnosis of Thrombophilia",197,"Haematological/Immunological conditions",9,"2871986010","439698008","2871986010","cleansedreadcode"
"D30B.00","Thrombophilia","26102","Protein C deficiency","Diagnosis of Thrombophilia",197,"Haematological/Immunological conditions",9,"1233987014","76407009","1233987014","cleansedreadcode"
"N006.00","Thrombophilia","12177","Antiphospholipid syndrome","Diagnosis of Thrombophilia",197,"Haematological/Immunological conditions",9,"44918014","26843008","44918014","cleansedreadcode"
