"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Thyroid Disease",NA,"Acquired hypothyroidism NOS",NA,198,"Diseases of the Endocrine System",5,"881391000006112","654491000000108","881391000006112","termsearch"
NA,"Thyroid Disease",NA,"Autoimmune hypothyroidism",NA,198,"Diseases of the Endocrine System",5,"5108351000006116","237519003","355966019","termsearch"
NA,"Thyroid Disease",NA,"Hypothyroidism monitoring invite 1",NA,198,"Diseases of the Endocrine System",5,"940101000006114","940101000006105","940101000006114","termsearch"
NA,"Thyroid Disease",NA,"Hypothyroidism monitoring invite 2",NA,198,"Diseases of the Endocrine System",5,"940111000006112","940111000006108","940111000006112","termsearch"
NA,"Thyroid Disease",NA,"Hypothyroidism monitoring invite 3",NA,198,"Diseases of the Endocrine System",5,"940121000006116","940121000006100","940121000006116","termsearch"
NA,"Thyroid Disease",NA,"Hypothyroidism-congen.+ acqui.",NA,198,"Diseases of the Endocrine System",5,"881381000006114","111566002","881381000006114","termsearch"
NA,"Thyroid Disease",NA,"Secondary hypothyroidism",NA,198,"Diseases of the Endocrine System",5,"1539151000006110","1539151000006106","1539151000006110","termsearch"
NA,"Thyroid Disease",NA,"Secondary hypothyroidism",NA,198,"Diseases of the Endocrine System",5,"3843671000006116","82598004","137019010","termsearch"
NA,"Thyroid Disease",NA,"Thyrotoxicosis +/- goitre",NA,198,"Diseases of the Endocrine System",5,"881371000006111","286909009","881371000006111","termsearch"
NA,"Thyroid Disease",NA,"Thyrotoxicosis from ectopic thyroid nodule with crisis",NA,198,"Diseases of the Endocrine System",5,"292356018","190256007","292356018","termsearch"
NA,"Thyroid Disease",NA,"[RFC] Hyperthyroidism",NA,198,"Diseases of the Endocrine System",5,"905741000006112","905741000006108","905741000006112","termsearch"
"","Thyroid Disease","","hypothyroidism monitoring administration","History of Hypo or hyperthyroidism",198,"Diseases of the Endocrine System",5,"940091000006115","940091000006104","940091000006115","originalreadcode"
"","Thyroid Disease","","hypothyroidism nos","Diagnosis of Hypo or Hyperthyroidism",198,"Diseases of the Endocrine System",5,"12727341000006116","681051000000104","1492161000000113","originalreadcode"
"","Thyroid Disease","","other acquired hypothyroidism","Diagnosis of Hypo or Hyperthyroidism",198,"Diseases of the Endocrine System",5,"12729831000006113","654491000000108","1438601000000113","originalreadcode"
"","Thyroid Disease","","postsurgical hypothyroidism","History of Hypo or hyperthyroidism",198,"Diseases of the Endocrine System",5,"2933341000006117","27059002","2536050019","originalreadcode"
"","Thyroid Disease","","toxic diffuse goitre with no crisis","Diagnosis of Hypo or Hyperthyroidism",198,"Diseases of the Endocrine System",5,"292327018","190241003","292327018","description"
"212P.00","Thyroid Disease","26362","Hyperthyroidism resolved","History of Hypo or hyperthyroidism",198,"Diseases of the Endocrine System",5,"2548990010","416477006","2548990010","cleansedreadcode"
"66B..00","Thyroid Disease","8268","Thyroid disease monitoring","History of Hypo or hyperthyroidism",198,"Diseases of the Endocrine System",5,"264730019","170780004","264730019","cleansedreadcode"
"66B4.00","Thyroid Disease","28530","Thyroid eye disease","History of Hypo or hyperthyroidism",198,"Diseases of the Endocrine System",5,"412221013","276177000","412221013","cleansedreadcode"
