"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"","Transient ischaemic attack","","tga - transient global amnesia","Diagnosis of TIA",200,"Diseases of the Circulatory System",2,"5011841000006110","230736007","345719015","originalreadcode"
"","Transient ischaemic attack","","transient cerebral ischaemia nos","Diagnosis of TIA",200,"Diseases of the Circulatory System",2,"12733221000006110","584181000000100","1296321000000119","originalreadcode"
"1B1S.00","Transient ischaemic attack","28278","Transient global amnesia","Diagnosis of TIA",200,"Diseases of the Circulatory System",2,"345718011","230736007","345718011","cleansedreadcode"
"8CRB.00","Transient ischaemic attack","100015","Transient ischaemic attack clinical management plan","Diagnosis of TIA",200,"Diseases of the Circulatory System",2,"1148331000000111","736288002","3517033016","cleansedreadcode"
"F423600","Transient ischaemic attack","1195","Amaurosis fugax","Diagnosis of TIA",200,"Diseases of the Circulatory System",2,"145925010","88032003","145925010","cleansedreadcode"
"Fyu5500","Transient ischaemic attack","63746","[X]Other transnt cerebral ischaemic attacks+related syndroms","Diagnosis of TIA",200,"Diseases of the Circulatory System",2,"416991000006112","266257000","395788015","cleansedreadcode"
"G65..00","Transient ischaemic attack","504","Transient cerebral ischaemia","Diagnosis of TIA",200,"Diseases of the Circulatory System",2,"395788015","266257000","395788015","cleansedreadcode"
"G65..12","Transient ischaemic attack","1433","Transient ischaemic attack","Diagnosis of TIA",200,"Diseases of the Circulatory System",2,"395783012","266257000","395783012","cleansedreadcode"
"G65..13","Transient ischaemic attack","2417","Vertebro-basilar insufficiency","Diagnosis of TIA",200,"Diseases of the Circulatory System",2,"67511000006117","64009001","106394016","cleansedreadcode"
"G650.11","Transient ischaemic attack","5268","Insufficiency - basilar artery","Diagnosis of TIA",200,"Diseases of the Circulatory System",2,"499739014","64009001","499739014","cleansedreadcode"
"G655.00","Transient ischaemic attack","6489","Transient global amnesia","Diagnosis of TIA",200,"Diseases of the Circulatory System",2,"95961000006119","230736007","345718011","cleansedreadcode"
"G656.00","Transient ischaemic attack","10794","Vertebrobasilar insufficiency","Diagnosis of TIA",200,"Diseases of the Circulatory System",2,"106394016","64009001","106394016","cleansedreadcode"
"G657.00","Transient ischaemic attack","105738","Carotid territory transient ischaemic attack","Diagnosis of TIA",200,"Diseases of the Circulatory System",2,"345684012","230716006","345684012","cleansedreadcode"
"G65y.00","Transient ischaemic attack","19354","Other transient cerebral ischaemia","Diagnosis of TIA",200,"Diseases of the Circulatory System",2,"300348012","266257000","395788015","cleansedreadcode"
"G65z.00","Transient ischaemic attack","1895","Transient cerebral ischaemia NOS","Diagnosis of TIA",200,"Diseases of the Circulatory System",2,"95931000006111","266257000","395788015","cleansedreadcode"
"G65z100","Transient ischaemic attack","16507","Intermittent cerebral ischaemia","Diagnosis of TIA",200,"Diseases of the Circulatory System",2,"300353019","195206000","300353019","cleansedreadcode"
"G65zz00","Transient ischaemic attack","15788","Transient cerebral ischaemia NOS","Diagnosis of TIA",200,"Diseases of the Circulatory System",2,"300349016","266257000","395788015","cleansedreadcode"
"Z7CE700","Transient ischaemic attack","18996","Transient global amnesia","Diagnosis of TIA",200,"Diseases of the Circulatory System",2,NA,NA,NA,"cleansedreadcode"
"Z7CE711","Transient ischaemic attack","19004","TGA - Transient global amnesia","Diagnosis of TIA",200,"Diseases of the Circulatory System",2,NA,NA,NA,"cleansedreadcode"
