"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"","Tubulo-interstitial nephritis","","[x]renal tubulo-interstitial diseases","Diagnosis of Tubulo-interstitial nephritis",202,"Diseases of the Genitourinary System",7,"12703931000006113","28689008","424761000006119","originalreadcode"
"K03T.00","Tubulo-interstitial nephritis","23990","Tubulo-interstit nephritis, not specif as acute or chron","Diagnosis of Tubulo-interstitial nephritis",202,"Diseases of the Genitourinary System",7,"83331000006110","428255004","2694843016","cleansedreadcode"
"K03y200","Tubulo-interstitial nephritis","34669","Other interstitial nephritis","Diagnosis of Tubulo-interstitial nephritis",202,"Diseases of the Genitourinary System",7,"303905010","28689008","48036015","cleansedreadcode"
"K0B..00","Tubulo-interstitial nephritis","45523","Renal tubulo-interstitial disorders in diseases EC","Diagnosis of Tubulo-interstitial nephritis",202,"Diseases of the Genitourinary System",7,"177321000006116","28689008","48036015","cleansedreadcode"
"K0B1.00","Tubulo-interstitial nephritis","64622","Renal tubulo-interstitial disorder/ neoplastic diseases","Diagnosis of Tubulo-interstitial nephritis",202,"Diseases of the Genitourinary System",7,"177311000006112","197742006","304040019","cleansedreadcode"
"K0B2.00","Tubulo-interstitial nephritis","45904","Ren tub-interst disordr/blood dis+disordr inv immune mech","Diagnosis of Tubulo-interstitial nephritis",202,"Diseases of the Genitourinary System",7,"176321000006119","197743001","304041015","cleansedreadcode"
"K0B4.00","Tubulo-interstitial nephritis","67261","Ren tub-interstitl disordr/systemc connectv tiss disorder","Diagnosis of Tubulo-interstitial nephritis",202,"Diseases of the Genitourinary System",7,"176331000006116","197745008","304043017","cleansedreadcode"
"K0B4000","Tubulo-interstitial nephritis","41148","Renal tubulo-interstitial disorder in SLE","Diagnosis of Tubulo-interstitial nephritis",202,"Diseases of the Genitourinary System",7,"177301000006114","307755009","451122013","cleansedreadcode"
"K0B5.00","Tubulo-interstitial nephritis","48057","Renal tubulo-interstitial disordrs in transplant rejectn","Diagnosis of Tubulo-interstitial nephritis",202,"Diseases of the Genitourinary System",7,"177341000006111","197747000","304045012","cleansedreadcode"
"K0C..00","Tubulo-interstitial nephritis","24736","Drug/heavy-metal-induced tubulo-interstitial and tub conditn","Diagnosis of Tubulo-interstitial nephritis",202,"Diseases of the Genitourinary System",7,"631331000006114","197749002","304049018","cleansedreadcode"
"K0C0.00","Tubulo-interstitial nephritis","8607","Analgesic nephropathy","Diagnosis of Tubulo-interstitial nephritis",202,"Diseases of the Genitourinary System",7,"98667016","59400006","98667016","cleansedreadcode"
"K0C1.00","Tubulo-interstitial nephritis","41159","Nephropathy induced by other drugs meds and biologl substncs","Diagnosis of Tubulo-interstitial nephritis",202,"Diseases of the Genitourinary System",7,"678081000006118","90708001","150315015","cleansedreadcode"
"K0C2.00","Tubulo-interstitial nephritis","57784","Nephropathy induced by unspec drug medicament or biol subs","Diagnosis of Tubulo-interstitial nephritis",202,"Diseases of the Genitourinary System",7,"678091000006115","236514003","354531018","cleansedreadcode"
"K0C4.00","Tubulo-interstitial nephritis","50893","Toxic nephropathy, not elsewhere classified","Diagnosis of Tubulo-interstitial nephritis",202,"Diseases of the Genitourinary System",7,"304054010","236514003","354531018","cleansedreadcode"
"K0C5.00","Tubulo-interstitial nephritis","104532","Acute drug-induced interstitial nephritis","Diagnosis of Tubulo-interstitial nephritis",202,"Diseases of the Genitourinary System",7,"1227911011","32093003","1227911011","cleansedreadcode"
"K0C6.00","Tubulo-interstitial nephritis","105680","Chronic lithium nephrotoxicity","Diagnosis of Tubulo-interstitial nephritis",202,"Diseases of the Genitourinary System",7,"1230030015","4390004","1230030015","cleansedreadcode"
"Kyu1.00","Tubulo-interstitial nephritis","94842","[X]Renal tubulo-interstitial diseases","Diagnosis of Tubulo-interstitial nephritis",202,"Diseases of the Genitourinary System",7,"424761000006119","28689008","483950014","cleansedreadcode"
"Kyu1000","Tubulo-interstitial nephritis","101453","[X]Other chronic tubulo-interstitial nephritis","Diagnosis of Tubulo-interstitial nephritis",202,"Diseases of the Genitourinary System",7,"305172012","60926001","101225013","cleansedreadcode"
"Kyu1400","Tubulo-interstitial nephritis","72478","[X]Nephropathy induced by other drugs+biological substances","Diagnosis of Tubulo-interstitial nephritis",202,"Diseases of the Genitourinary System",7,"399791000006112","28689008","48036015","cleansedreadcode"
"Kyu1E00","Tubulo-interstitial nephritis","103757","[X]Tubulo-interstit nephritis, not specif as acute or chron","Diagnosis of Tubulo-interstitial nephritis",202,"Diseases of the Genitourinary System",7,"429641000006113","428255004","2694843016","cleansedreadcode"
