"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Type 2 Diabetes Mellitus",NA,"Type II diabetes mellitus with gastroparesis",NA,204,"Diseases of the Endocrine System",5,"1667921000000117","713703005","3698412014","termsearch"
"","Type 2 Diabetes Mellitus","","type 2 diabetes mellitus with mononeuropathy","Type II diabetes mellitus (4)",204,"Diseases of the Endocrine System",5,"84531000006118","420436000","2618201018","description"
"","Type 2 Diabetes Mellitus","","type 2 diabetes mellitus with multiple complications","Type II diabetes mellitus (4)",204,"Diseases of the Endocrine System",5,"84541000006111","190388001","292577016","description"
"","Type 2 Diabetes Mellitus","","type 2 diabetes mellitus without complication","Type II diabetes mellitus (4)",204,"Diseases of the Endocrine System",5,"84641000006112","313436004","457329019","description"
"","Type 2 Diabetes Mellitus","","type ii diabetes mellitus with arthropathy","Type II diabetes mellitus (4)",204,"Diseases of the Endocrine System",5,"459311019","314903002","459311019","description"
"","Type 2 Diabetes Mellitus","","type ii diabetes mellitus with gangrene","Type II diabetes mellitus (4)",204,"Diseases of the Endocrine System",5,"292582011","421631007","2618206011","description"
"","Type 2 Diabetes Mellitus","","type ii diabetes mellitus with multiple complications","Type II diabetes mellitus (4)",204,"Diseases of the Endocrine System",5,"84911000006119","190388001","292576013","description"
"","Type 2 Diabetes Mellitus","","type ii diabetes mellitus with nephropathy","Type II diabetes mellitus (4)",204,"Diseases of the Endocrine System",5,"914271000006114","420279001","3013392012","description"
"","Type 2 Diabetes Mellitus","","type ii diabetes mellitus with neurological complications","Type II diabetes mellitus (4)",204,"Diseases of the Endocrine System",5,"12702411000006115","421326000","84931000006113","originalreadcode"
"","Type 2 Diabetes Mellitus","","type ii diabetes mellitus with ophthalmic complications","Type II diabetes mellitus (4)",204,"Diseases of the Endocrine System",5,"12702421000006111","422099009","12702421000006111","originalreadcode"
"","Type 2 Diabetes Mellitus","","type ii diabetes mellitus with peripheral angiopathy","Type II diabetes mellitus (4)",204,"Diseases of the Endocrine System",5,"459306016","314902007","459306016","description"
"","Type 2 Diabetes Mellitus","","type ii diabetes mellitus without complication","Type II diabetes mellitus (4)",204,"Diseases of the Endocrine System",5,"85011000006119","313436004","457330012","description"
"C109.12","Type 2 Diabetes Mellitus","17859","Type 2 diabetes mellitus","Type II diabetes mellitus (4)",204,"Diseases of the Endocrine System",5,"84471000006119","44054006","197761014","cleansedreadcode"
"C109.13","Type 2 Diabetes Mellitus","18219","Type II diabetes mellitus","Type II diabetes mellitus (4)",204,"Diseases of the Endocrine System",5,"84841000006113","44054006","493774016","cleansedreadcode"
"C109011","Type 2 Diabetes Mellitus","50225","Type II diabetes mellitus with renal complications","Type II diabetes mellitus (4)",204,"Diseases of the Endocrine System",5,"84981000006114","420279001","3013392012","cleansedreadcode"
"C109012","Type 2 Diabetes Mellitus","18209","Type 2 diabetes mellitus with renal complications","Type II diabetes mellitus (4)",204,"Diseases of the Endocrine System",5,"84611000006113","420279001","2618208012","cleansedreadcode"
"C109111","Type 2 Diabetes Mellitus","59725","Type II diabetes mellitus with ophthalmic complications","Type II diabetes mellitus (4)",204,"Diseases of the Endocrine System",5,"84951000006118","422099009","3698440016","cleansedreadcode"
"C109112","Type 2 Diabetes Mellitus","70316","Type 2 diabetes mellitus with ophthalmic complications","Type II diabetes mellitus (4)",204,"Diseases of the Endocrine System",5,"84581000006117","422099009","3698440016","cleansedreadcode"
"C109211","Type 2 Diabetes Mellitus","67905","Type II diabetes mellitus with neurological complications","Type II diabetes mellitus (4)",204,"Diseases of the Endocrine System",5,"84931000006113","421326000","3695406015","cleansedreadcode"
"C109212","Type 2 Diabetes Mellitus","45919","Type 2 diabetes mellitus with neurological complications","Type II diabetes mellitus (4)",204,"Diseases of the Endocrine System",5,"84561000006110","421326000","3695406015","cleansedreadcode"
"C109411","Type 2 Diabetes Mellitus","55075","Type II diabetes mellitus with ulcer","Type II diabetes mellitus (4)",204,"Diseases of the Endocrine System",5,"85001000006117","190389009","292581016","cleansedreadcode"
"C109412","Type 2 Diabetes Mellitus","65704","Type 2 diabetes mellitus with ulcer","Type II diabetes mellitus (4)",204,"Diseases of the Endocrine System",5,"84631000006119","190389009","292579018","cleansedreadcode"
"C109511","Type 2 Diabetes Mellitus","62107","Type II diabetes mellitus with gangrene","Type II diabetes mellitus (4)",204,"Diseases of the Endocrine System",5,"84881000006119","421631007","2618206011","cleansedreadcode"
"C109512","Type 2 Diabetes Mellitus","46150","Type 2 diabetes mellitus with gangrene","Type II diabetes mellitus (4)",204,"Diseases of the Endocrine System",5,"84511000006112","421631007","2618206011","cleansedreadcode"
"C109611","Type 2 Diabetes Mellitus","58604","Type II diabetes mellitus with retinopathy","Type II diabetes mellitus (4)",204,"Diseases of the Endocrine System",5,"84991000006112","422034002","3699410014","cleansedreadcode"
"C109612","Type 2 Diabetes Mellitus","42762","Type 2 diabetes mellitus with retinopathy","Type II diabetes mellitus (4)",204,"Diseases of the Endocrine System",5,"84621000006117","422034002","3699410014","cleansedreadcode"
"C109711","Type 2 Diabetes Mellitus","24458","Type II diabetes mellitus - poor control","Type II diabetes mellitus (4)",204,"Diseases of the Endocrine System",5,"84851000006110","443694000","2921019012","cleansedreadcode"
