"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"J41..00","Ulcerative colitis","5133","Idiopathic proctocolitis","Diagnosis of Ulcerative colitis",205,"Diseases of the Digestive System",3,"2579429013","64766004","2579429013","cleansedreadcode"
"J41..11","Ulcerative colitis","23950","Mucous colitis and/or proctitis","Diagnosis of Ulcerative colitis",205,"Diseases of the Digestive System",3,"696071000006114","43752006","72962011","cleansedreadcode"
"J41..12","Ulcerative colitis","1784","Ulcerative colitis and/or proctitis","Diagnosis of Ulcerative colitis",205,"Diseases of the Digestive System",3,"85931000006112","295046003","435370011","cleansedreadcode"
"J410.00","Ulcerative colitis","6650","Ulcerative proctocolitis","Diagnosis of Ulcerative colitis",205,"Diseases of the Digestive System",3,"435370011","295046003","435370011","cleansedreadcode"
"J410000","Ulcerative colitis","48732","Ulcerative ileocolitis","Diagnosis of Ulcerative colitis",205,"Diseases of the Digestive System",3,"302953018","196987008","302953018","cleansedreadcode"
"J410100","Ulcerative colitis","704","Ulcerative colitis","Diagnosis of Ulcerative colitis",205,"Diseases of the Digestive System",3,"107644019","64766004","107644019","cleansedreadcode"
"J410200","Ulcerative colitis","24858","Ulcerative rectosigmoiditis","Diagnosis of Ulcerative colitis",205,"Diseases of the Digestive System",3,"496332018","52506002","496332018","cleansedreadcode"
"J410300","Ulcerative colitis","8347","Ulcerative proctitis","Diagnosis of Ulcerative colitis",205,"Diseases of the Digestive System",3,"496249010","52231000","496249010","cleansedreadcode"
"J410400","Ulcerative colitis","22516","Exacerbation of ulcerative colitis","Diagnosis of Ulcerative colitis",205,"Diseases of the Digestive System",3,"2532953017","414156000","2532953017","cleansedreadcode"
"J410z00","Ulcerative colitis","33456","Ulcerative proctocolitis NOS","Diagnosis of Ulcerative colitis",205,"Diseases of the Digestive System",3,"302956014","295046003","435370011","cleansedreadcode"
"J411.00","Ulcerative colitis","30433","Ulcerative (chronic) enterocolitis","Diagnosis of Ulcerative colitis",205,"Diseases of the Digestive System",3,"85891000006115","235714007","353357011","cleansedreadcode"
"J412.00","Ulcerative colitis","42822","Ulcerative (chronic) ileocolitis","Diagnosis of Ulcerative colitis",205,"Diseases of the Digestive System",3,"85901000006116","196987008","302953018","cleansedreadcode"
"J413.00","Ulcerative colitis","104259","Ulcerative pancolitis","Diagnosis of Ulcerative colitis",205,"Diseases of the Digestive System",3,"2872721013","444548001","2872721013","cleansedreadcode"
"J41y.00","Ulcerative colitis","24550","Other idiopathic proctocolitis","Diagnosis of Ulcerative colitis",205,"Diseases of the Digestive System",3,"302959019","418130002","2576688010","cleansedreadcode"
"J41yz00","Ulcerative colitis","43090","Other idiopathic proctocolitis NOS","Diagnosis of Ulcerative colitis",205,"Diseases of the Digestive System",3,"302961011","418130002","2576688010","cleansedreadcode"
"J41z.00","Ulcerative colitis","15207","Idiopathic proctocolitis NOS","Diagnosis of Ulcerative colitis",205,"Diseases of the Digestive System",3,"302962016","64766004","2579429013","cleansedreadcode"
"Jyu4100","Ulcerative colitis","53743","[X]Other ulcerative colitis","Diagnosis of Ulcerative colitis",205,"Diseases of the Digestive System",3,"303762015","64766004","107644019","cleansedreadcode"
"N031000","Ulcerative colitis","17641","Arthropathy in ulcerative colitis","History of Ulcerative colitis",205,"Diseases of the Digestive System",3,"309743013","201727001","309743013","cleansedreadcode"
"N045400","Ulcerative colitis","71083","Juvenile arthritis in ulcerative colitis","History of Ulcerative colitis",205,"Diseases of the Digestive System",3,"309836013","201807008","309836013","cleansedreadcode"
