"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"662K300","Unstable Angina","29300","Angina control - worsening","Worsening angina (2)",206,"Diseases of the Circulatory System",2,"264496010","170597008","264496010","cleansedreadcode"
"G311.00","Unstable Angina","36523","Preinfarction syndrome","Unstable angina (3)",206,"Diseases of the Circulatory System",2,"7844010","4557003","494262012","cleansedreadcode"
"G311.11","Unstable Angina","4656","Crescendo angina","Unstable angina (3)",206,"Diseases of the Circulatory System",2,"7847015","4557003","7847015","cleansedreadcode"
"G311.12","Unstable Angina","39655","Impending infarction","Unstable angina (3)",206,"Diseases of the Circulatory System",2,"494260016","25106000","42087013","cleansedreadcode"
"G311.13","Unstable Angina","1431","Unstable angina","Unstable angina (3)",206,"Diseases of the Circulatory System",2,"72571000006115","4557003","7845011","cleansedreadcode"
"G311.14","Unstable Angina","19655","Angina at rest","Unstable angina (3)",206,"Diseases of the Circulatory System",2,"482811000006113","59021001","498328016","cleansedreadcode"
"G311100","Unstable Angina","7347","Unstable angina","Unstable angina (3)",206,"Diseases of the Circulatory System",2,"7845011","4557003","7845011","cleansedreadcode"
"G311200","Unstable Angina","17307","Angina at rest","Unstable angina (3)",206,"Diseases of the Circulatory System",2,"498328016","59021001","498328016","cleansedreadcode"
"G311300","Unstable Angina","34328","Refractory angina","Worsening angina (2)",206,"Diseases of the Circulatory System",2,"459487012","315025001","459487012","cleansedreadcode"
"G311400","Unstable Angina","18118","Worsening angina","Worsening angina (2)",206,"Diseases of the Circulatory System",2,"494261017","4557003","494261017","cleansedreadcode"
"G311500","Unstable Angina","11983","Acute coronary syndrome","ACS diagnosed (3)",206,"Diseases of the Circulatory System",2,"1488382011","394659003","1488382011","cleansedreadcode"
"G311z00","Unstable Angina","54251","Preinfarction syndrome NOS","Unstable angina (3)",206,"Diseases of the Circulatory System",2,"299741012","4557003","7844010","cleansedreadcode"
"G312.00","Unstable Angina","39449","Coronary thrombosis not resulting in myocardial infarction","Unstable angina (3)",206,"Diseases of the Circulatory System",2,"299742017","194821006","299742017","cleansedreadcode"
"G31y000","Unstable Angina","9276","Acute coronary insufficiency","Unstable angina (3)",206,"Diseases of the Circulatory System",2,"299745015","194823009","299745015","cleansedreadcode"
"G33z000","Unstable Angina","66388","Status anginosus","Unstable angina (3)",206,"Diseases of the Circulatory System",2,"32122016","19057007","32122016","cleansedreadcode"
"","Unstable Angina","","unstable angina","Unstable angina (3)",206,"Diseases of the Circulatory System",2,"854491000006113","854491000006109","854491000006113","originalreadcode"
"","Unstable Angina","","unstable angina","Unstable angina (3)",206,"Diseases of the Circulatory System",2,"854491000006113","854491000006109","854491000006113","originalreadcode"
"","Unstable Angina","","acute coronary syndrome","ACS diagnosed (3)",206,"Diseases of the Circulatory System",2,"931961000006117","194823009","931961000006117","description"
