"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Urinary Incontinence",NA,"Continence care plan",NA,207,"Diseases of the Genitourinary System",7,"1937311000006113","1937311000006109","1937311000006113","termsearch"
NA,"Urinary Incontinence",NA,"Disability code - Personal, Self Care and Continence",NA,207,"Diseases of the Genitourinary System",7,"1963631000006111","1963631000006107","1963631000006111","termsearch"
NA,"Urinary Incontinence",NA,"Mixed urinary incontinence",NA,207,"Diseases of the Genitourinary System",7,"3035332015","413343005","3035332015","termsearch"
NA,"Urinary Incontinence",NA,"Postural urinary incontinence",NA,207,"Diseases of the Genitourinary System",7,"1936691000006114","236665004","354743015","termsearch"
NA,"Urinary Incontinence",NA,"Provision of incontinence pad",NA,207,"Diseases of the Genitourinary System",7,"1937431000006114","1937431000006105","1937431000006114","termsearch"
NA,"Urinary Incontinence",NA,"Reason for referral: Continence Problems",NA,207,"Diseases of the Genitourinary System",7,"1776551000006113","1776551000006109","1776551000006113","termsearch"
NA,"Urinary Incontinence",NA,"Referral to continence advisor",NA,207,"Diseases of the Genitourinary System",7,"831121000006116","831121000006100","831121000006116","termsearch"
NA,"Urinary Incontinence",NA,"Referral to incontinence pad user support service",NA,207,"Diseases of the Genitourinary System",7,"1937541000006115","1937541000006104","1937541000006115","termsearch"
NA,"Urinary Incontinence",NA,"Referred for provision of incontinence pad",NA,207,"Diseases of the Genitourinary System",7,"1937461000006117","1937461000006101","1937461000006117","termsearch"
NA,"Urinary Incontinence",NA,"Referred to Continence Service",NA,207,"Diseases of the Genitourinary System",7,"1775341000006112","1775341000006108","1775341000006112","termsearch"
NA,"Urinary Incontinence",NA,"Stress urinary incontinence at rest",NA,207,"Diseases of the Genitourinary System",7,"1936731000006118","1936731000006102","1936731000006118","termsearch"
NA,"Urinary Incontinence",NA,"Total urinary incontinence",NA,207,"Diseases of the Genitourinary System",7,"208698016","129853007","208698016","termsearch"
NA,"Urinary Incontinence",NA,"[RFC] Continence care & advice",NA,207,"Diseases of the Genitourinary System",7,"910631000006118","910631000006102","910631000006118","termsearch"
NA,"Urinary Incontinence",NA,"[RFC] Incontinence",NA,207,"Diseases of the Genitourinary System",7,"909351000006111","909351000006107","909351000006111","termsearch"
NA,"Urinary Incontinence",NA,"[RFC] Incontinence both urinary & bowel",NA,207,"Diseases of the Genitourinary System",7,"908931000006111","908931000006107","908931000006111","termsearch"
NA,"Urinary Incontinence",NA,"[RFC] Urinary incontinence",NA,207,"Diseases of the Genitourinary System",7,"908921000006113","908921000006109","908921000006113","termsearch"
"","Urinary Incontinence","","bladder: incontinent","Diagnosis of Urinary Incontinence",207,"Diseases of the Genitourinary System",7,"917121000006112","917121000006108","917121000006112","originalreadcode"
"","Urinary Incontinence","","stress incontinence","Diagnosis of Urinary Incontinence",207,"Diseases of the Genitourinary System",7,"917511000006112","917511000006108","917511000006112","originalreadcode"
"","Urinary Incontinence","","stress incontinence","Diagnosis of Urinary Incontinence",207,"Diseases of the Genitourinary System",7,"918171000006114","918171000006105","918171000006114","originalreadcode"
"","Urinary Incontinence","","urge incontinence of urine","Diagnosis of Urinary Incontinence",207,"Diseases of the Genitourinary System",7,"918181000006112","918181000006108","918181000006112","originalreadcode"
