"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"8CMWA00","Venous thromboembolic disease (Excl PE)","106566","On deep vein thrombosis care pathway","History of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"2247661000000111","869611000000104","2247661000000111","cleansedreadcode"
"9kg..00","Venous thromboembolic disease (Excl PE)","101655","Deep vein thrombosis - enhanced services administration","History of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"1059641000000112","492161000000109","1152491000000116","cleansedreadcode"
"9kg0.00","Venous thromboembolic disease (Excl PE)","102776","DVT stage 1 service level - enhanced services administration","History of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"1715671000006119","503421000000105","1152451000000112","cleansedreadcode"
"9kg0.11","Venous thromboembolic disease (Excl PE)","104290","DVT enhanced services administration stage 1 service level","History of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"1741651000006115","503421000000105","1152451000000112","cleansedreadcode"
"9kg1.00","Venous thromboembolic disease (Excl PE)","102777","DVT stage 2 service level - enhanced services administration","History of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"1716271000006111","503451000000100","1152471000000115","cleansedreadcode"
"9kg2.00","Venous thromboembolic disease (Excl PE)","107023","DVT stage 3 service level - enhanced services administration","History of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"1715681000006116","503481000000106","1152431000000117","cleansedreadcode"
"F05..00","Venous thromboembolic disease (Excl PE)","49715","Phlebitis and thrombophlebitis of intracranial sinuses","Diagnosis of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"296931015","192753009","296931015","cleansedreadcode"
"F050.00","Venous thromboembolic disease (Excl PE)","36568","Embolism of central nervous system venous sinus","Diagnosis of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"1221072019","14246007","1221072019","cleansedreadcode"
"F050000","Venous thromboembolic disease (Excl PE)","55885","Embolism cavernous sinus","Diagnosis of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"296932010","192754003","296932010","cleansedreadcode"
"F050100","Venous thromboembolic disease (Excl PE)","64467","Embolism superior longitudinal sinus","Diagnosis of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"296933017","192755002","296933017","cleansedreadcode"
"F050300","Venous thromboembolic disease (Excl PE)","84404","Embolism transverse sinus","Diagnosis of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"296935012","192757005","296935012","cleansedreadcode"
"F051.00","Venous thromboembolic disease (Excl PE)","31390","Thrombosis of central nervous system venous sinuses","Diagnosis of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"100721000006111","192759008","296937016","cleansedreadcode"
"F051000","Venous thromboembolic disease (Excl PE)","22006","Thrombosis cavernous sinus","Diagnosis of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"100691000006118","89980009","1235519010","cleansedreadcode"
"F051100","Venous thromboembolic disease (Excl PE)","20161","Thrombosis of superior longitudinal sinus","Diagnosis of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"296938014","192760003","296938014","cleansedreadcode"
"F051200","Venous thromboembolic disease (Excl PE)","3585","Thrombosis lateral sinus","Diagnosis of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"100701000006118","21258007","1222620011","cleansedreadcode"
"F051300","Venous thromboembolic disease (Excl PE)","28309","Thrombosis transverse sinus","Diagnosis of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"296939018","192761004","296939018","cleansedreadcode"
"F051z00","Venous thromboembolic disease (Excl PE)","61366","Thrombosis of central nervous system venous sinus NOS","Diagnosis of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"296940016","192759008","296937016","cleansedreadcode"
"F053.00","Venous thromboembolic disease (Excl PE)","41180","Thrombophlebitis of central nervous system venous sinuses","Diagnosis of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"296947018","192769002","296947018","cleansedreadcode"
"F053000","Venous thromboembolic disease (Excl PE)","55883","Thrombophlebitis of cavernous sinus","Diagnosis of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"296948011","192770001","296948011","cleansedreadcode"
"F053100","Venous thromboembolic disease (Excl PE)","70455","Thrombophlebitis of superior longitudinal venous sinus","Diagnosis of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"296949015","192771002","296949015","cleansedreadcode"
"F05z.00","Venous thromboembolic disease (Excl PE)","65855","Phlebitis or thrombophlebitis of CNS venous sinus NOS","Diagnosis of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"231561000006110","192753009","296931015","cleansedreadcode"
"G676.00","Venous thromboembolic disease (Excl PE)","37947","Nonpyogenic venous sinus thrombosis","Diagnosis of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"586241000006116","195229008","300392014","cleansedreadcode"
"G676000","Venous thromboembolic disease (Excl PE)","39344","Cereb infarct due cerebral venous thrombosis, nonpyogenic","Diagnosis of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"542251000006112","195230003","300393016","cleansedreadcode"
"G67A.00","Venous thromboembolic disease (Excl PE)","101733","Cerebral vein thrombosis","Diagnosis of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"1235913017","95455008","1235913017","cleansedreadcode"
"G801.00","Venous thromboembolic disease (Excl PE)","3576","Deep vein phlebitis and thrombophlebitis of the leg","Diagnosis of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"395801015","266267005","395801015","cleansedreadcode"
"G801.11","Venous thromboembolic disease (Excl PE)","824","Deep vein thrombosis","Diagnosis of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"2162149016","128053003","194647015","cleansedreadcode"
"G801.12","Venous thromboembolic disease (Excl PE)","25478","Deep vein thrombosis, leg","Diagnosis of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"218551000000118","266267005","395801015","cleansedreadcode"
"G801.13","Venous thromboembolic disease (Excl PE)","3392","DVT - Deep vein thrombosis","Diagnosis of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"2162148012","128053003","2162149016","cleansedreadcode"
"G801600","Venous thromboembolic disease (Excl PE)","15382","Thrombophlebitis of the femoral vein","Diagnosis of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"300672010","195410000","300672010","cleansedreadcode"
"G801700","Venous thromboembolic disease (Excl PE)","55661","Thrombophlebitis of the popliteal vein","Diagnosis of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"300673017","195411001","300673017","cleansedreadcode"
"G801800","Venous thromboembolic disease (Excl PE)","95077","Thrombophlebitis of the anterior tibial vein","Diagnosis of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"300674011","195412008","300674011","cleansedreadcode"
"G801900","Venous thromboembolic disease (Excl PE)","106482","Thrombophlebitis of the dorsalis pedis vein","Diagnosis of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"300675012","770111009","3698589012","cleansedreadcode"
"G801A00","Venous thromboembolic disease (Excl PE)","61760","Thrombophlebitis of the posterior tibial vein","Diagnosis of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"300676013","195414009","300676013","cleansedreadcode"
"G801B00","Venous thromboembolic disease (Excl PE)","32002","Deep vein thrombophlebitis of the leg unspecified","Diagnosis of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"300677016","40198004","63532015","cleansedreadcode"
"G801C00","Venous thromboembolic disease (Excl PE)","42506","Deep vein thrombosis of leg related to air travel","Diagnosis of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"216205019","134399007","216205019","cleansedreadcode"
"G801D00","Venous thromboembolic disease (Excl PE)","22038","Deep vein thrombosis of lower limb","Diagnosis of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"2162422011","404223003","2162422011","cleansedreadcode"
"G801E00","Venous thromboembolic disease (Excl PE)","48920","Deep vein thrombosis of leg related to intravenous drug use","Diagnosis of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"2534187010","413956008","2534187010","cleansedreadcode"
"G801F00","Venous thromboembolic disease (Excl PE)","98526","Deep vein thrombosis of peroneal vein","Diagnosis of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"1119161000000115","443210003","1664901000000117","cleansedreadcode"
"G801G00","Venous thromboembolic disease (Excl PE)","104342","Recurrent deep vein thrombosis","Diagnosis of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"2144741000000111","710167004","3043650017","cleansedreadcode"
"G801z00","Venous thromboembolic disease (Excl PE)","27284","Deep vein phlebitis and thrombophlebitis of the leg NOS","Diagnosis of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"300681016","266267005","395801015","cleansedreadcode"
"G80y.11","Venous thromboembolic disease (Excl PE)","38099","Phlebitis and/or thrombophlebitis of iliac vein","Diagnosis of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"412645018","276494008","412645018","cleansedreadcode"
"G80y400","Venous thromboembolic disease (Excl PE)","58166","Thrombophlebitis of the common iliac vein","Diagnosis of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"300691010","195425000","300691010","cleansedreadcode"
"G80y500","Venous thromboembolic disease (Excl PE)","94496","Thrombophlebitis of the internal iliac vein","Diagnosis of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"300692015","195426004","300692015","cleansedreadcode"
"G80y600","Venous thromboembolic disease (Excl PE)","58023","Thrombophlebitis of the external iliac vein","Diagnosis of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"300695018","195427008","300695018","cleansedreadcode"
"G80y700","Venous thromboembolic disease (Excl PE)","91282","Thrombophlebitis of the iliac vein unspecified","Diagnosis of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"300696017","42861008","71531019","cleansedreadcode"
"G80y800","Venous thromboembolic disease (Excl PE)","70467","Phlebitis and thrombophlebitis of the iliac vein NOS","Diagnosis of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"300697014","276494008","412645018","cleansedreadcode"
"G81..00","Venous thromboembolic disease (Excl PE)","8769","Portal vein thrombosis","Diagnosis of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"30273012","17920008","30273012","cleansedreadcode"
"G820.00","Venous thromboembolic disease (Excl PE)","20676","Budd - Chiari syndrome (hepatic vein thrombosis)","Diagnosis of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"527221000006115","82385007","136654014","cleansedreadcode"
"G820.11","Venous thromboembolic disease (Excl PE)","57100","Hepatic vein thrombosis","Diagnosis of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"64466019","82385007","136654014","cleansedreadcode"
"G822.00","Venous thromboembolic disease (Excl PE)","43555","Embolism and thrombosis of the vena cava","Diagnosis of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"300710016","195437003","300710016","cleansedreadcode"
"G822000","Venous thromboembolic disease (Excl PE)","97808","Thrombosis of inferior vena cava","Diagnosis of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"419640012","281595001","419640012","cleansedreadcode"
"G823.00","Venous thromboembolic disease (Excl PE)","5503","Embolism and thrombosis of the renal vein","Diagnosis of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"300711017","195438008","300711017","cleansedreadcode"
"G824.00","Venous thromboembolic disease (Excl PE)","100103","Axillary vein thrombosis","Diagnosis of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"437622013","297156001","437622013","cleansedreadcode"
"G825.00","Venous thromboembolic disease (Excl PE)","105403","Thrombosis of subclavian vein","Diagnosis of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"2795114019","438647008","2795114019","cleansedreadcode"
"G826.00","Venous thromboembolic disease (Excl PE)","106850","Thrombosis of internal jugular vein","Diagnosis of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"2234371000000119","864191000000104","2234371000000119","cleansedreadcode"
"G827.00","Venous thromboembolic disease (Excl PE)","107851","Thrombosis of external jugular vein","Diagnosis of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"2234411000000115","864211000000100","2234411000000115","cleansedreadcode"
"Gyu8000","Venous thromboembolic disease (Excl PE)","97853","[X]Phlebitis+thrombophlebitis/oth deep vessls/low extremites","Diagnosis of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"420621000006111","195394007","300649013","cleansedreadcode"
"J420200","Venous thromboembolic disease (Excl PE)","54205","Thrombus of the superior mesenteric veins","Diagnosis of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"100821000006116","197001004","302981012","cleansedreadcode"
"SP12200","Venous thromboembolic disease (Excl PE)","1224","Post operative deep vein thrombosis","Diagnosis of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"216571000006116","213220000","325066018","cleansedreadcode"
"ZV12800","Venous thromboembolic disease (Excl PE)","19562","[V] Personal history deep vein thrombosis","History of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"451478017","161508001","2547692019","cleansedreadcode"
"ZV12811","Venous thromboembolic disease (Excl PE)","17847","[V] Personal history DVT- deep vein thrombosis","History of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"1227369013","161508001","2547692019","cleansedreadcode"
"","Venous thromboembolic disease (Excl PE)","","axillary vein thrombosis","Diagnosis of Venous thromboembolic disease (Excl PE)",208,"Diseases of the Circulatory System",2,"851241000006115","851241000006104","851241000006115","originalreadcode"
