"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Visual impairment and blindness",NA,"Blind (subjectively)",NA,210,"Diseases of the Eye",6,"855291000006110","855291000006106","855291000006110","termsearch"
NA,"Visual impairment and blindness",NA,"Disability code - Sight",NA,210,"Diseases of the Eye",6,"1963661000006119","1963661000006103","1963661000006119","termsearch"
NA,"Visual impairment and blindness",NA,"England and Wales partially sighted certification",NA,210,"Diseases of the Eye",6,"7973691000006117","2531000000100","17781000000113","termsearch"
NA,"Visual impairment and blindness",NA,"Ineligibility for diab. eye screen: Blind (screening contraind)",NA,210,"Diseases of the Eye",6,"1583901000006115","1583901000006104","1583901000006115","termsearch"
NA,"Visual impairment and blindness",NA,"Partially sighted (subjectively)",NA,210,"Diseases of the Eye",6,"856171000006114","856171000006105","856171000006114","termsearch"
NA,"Visual impairment and blindness",NA,"Sight impairment",NA,210,"Diseases of the Eye",6,"982291000006118","982291000006102","982291000006118","termsearch"
NA,"Visual impairment and blindness",NA,"Vision - blind despite any aid",NA,210,"Diseases of the Eye",6,"857631000006118","857631000006102","857631000006118","termsearch"
"","Visual impairment and blindness","","sight impaired","Diagnosis of blindness",210,"Diseases of the Eye",6,"2627081000006116","7973008","2164155010","originalreadcode"
"","Visual impairment and blindness","","visual loss nos","Diagnosis of blindness",210,"Diseases of the Eye",6,"12731791000006115","566991000000106","1260591000000113","originalreadcode"
"1B75.00","Visual impairment and blindness","3268","Loss of vision","Diagnosis of blindness",210,"Diseases of the Eye",6,"734661000006116","240311000000103","390341000000115","cleansedreadcode"
"2B6A.11","Visual impairment and blindness","10388","O/E - blind R-eye","Diagnosis of blindness",210,"Diseases of the Eye",6,"255275013","163946009","255275013","cleansedreadcode"
"2B6B.00","Visual impairment and blindness","33014","O/E - R-eye completely blind","Diagnosis of blindness",210,"Diseases of the Eye",6,"255276014","163946009","255276014","cleansedreadcode"
"2B6S.00","Visual impairment and blindness","51274","O/E - pinhole R-eye completely blind","Diagnosis of blindness",210,"Diseases of the Eye",6,"2163962013","408322003","2163962013","cleansedreadcode"
