"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"66E..00","Vitamin B12 deficiency anaemia","7403","B12 deficiency monitoring","Vitamin B12 deficiency",211,"Haematological/Immunological conditions",9,"264780013","170818005","264780013","cleansedreadcode"
"66E1.00","Vitamin B12 deficiency anaemia","11126","B12 defic. initial assessment","Vitamin B12 deficiency",211,"Haematological/Immunological conditions",9,"501111000006119","170819002","264781012","cleansedreadcode"
"66E2.00","Vitamin B12 deficiency anaemia","8013","B12 defic.follow-up assessment","Vitamin B12 deficiency",211,"Haematological/Immunological conditions",9,"501131000006113","170820008","264782017","cleansedreadcode"
"66E3.00","Vitamin B12 deficiency anaemia","31126","B12 injections started","Vitamin B12 deficiency",211,"Haematological/Immunological conditions",9,"264783010","170821007","264783010","cleansedreadcode"
"66E4.00","Vitamin B12 deficiency anaemia","42928","B12 injections - at home","Vitamin B12 deficiency",211,"Haematological/Immunological conditions",9,"264784016","170822000","264784016","cleansedreadcode"
"66E5.00","Vitamin B12 deficiency anaemia","12329","B12 injections - at surgery","Vitamin B12 deficiency",211,"Haematological/Immunological conditions",9,"264785015","170823005","264785015","cleansedreadcode"
"66E6.00","Vitamin B12 deficiency anaemia","66935","Reticulcytosis after B12","Diagnosis of Vitamin B12 deficiency anaemia",211,"Haematological/Immunological conditions",9,"264786019","170824004","3076147019","cleansedreadcode"
"66E7.00","Vitamin B12 deficiency anaemia","48714","B12 def.-dubious diag.criteria","Vitamin B12 deficiency",211,"Haematological/Immunological conditions",9,"501101000006117","170825003","264787011","cleansedreadcode"
"66E8.00","Vitamin B12 deficiency anaemia","58599","B12 injections stopped","Vitamin B12 deficiency",211,"Haematological/Immunological conditions",9,"264788018","170826002","264788018","cleansedreadcode"
"66EZ.00","Vitamin B12 deficiency anaemia","36840","B12 defic. monitoring NOS","Vitamin B12 deficiency",211,"Haematological/Immunological conditions",9,"501121000006110","170818005","264780013","cleansedreadcode"
"C262100","Vitamin B12 deficiency anaemia","2515","Vitamin B12 deficiency","Vitamin B12 deficiency",211,"Haematological/Immunological conditions",9,"293008012","190634004","293008012","cleansedreadcode"
"D010.00","Vitamin B12 deficiency anaemia","2464","Pernicious anaemia","Diagnosis of Vitamin B12 deficiency anaemia",211,"Haematological/Immunological conditions",9,"505888017","84027009","505888017","cleansedreadcode"
"D010.11","Vitamin B12 deficiency anaemia","2813","Addison's anaemia","Diagnosis of Vitamin B12 deficiency anaemia",211,"Haematological/Immunological conditions",9,"223491000000112","84027009","505888017","cleansedreadcode"
"D010.12","Vitamin B12 deficiency anaemia","55370","Biermer's congenital pernicious anaemia","Diagnosis of Vitamin B12 deficiency anaemia",211,"Haematological/Immunological conditions",9,"351107016","234362006","351107016","cleansedreadcode"
"D010.13","Vitamin B12 deficiency anaemia","46289","Congenital deficiency of intrinsic factor","Diagnosis of Vitamin B12 deficiency anaemia",211,"Haematological/Immunological conditions",9,"351106013","234361004","351106013","cleansedreadcode"
"D011.00","Vitamin B12 deficiency anaemia","29486","Other vitamin B12 deficiency anaemias","Diagnosis of Vitamin B12 deficiency anaemia",211,"Haematological/Immunological conditions",9,"399198011","49472006","495412014","cleansedreadcode"
"D011.11","Vitamin B12 deficiency anaemia","5271","Vitamin B12 deficiency anaemia","Diagnosis of Vitamin B12 deficiency anaemia",211,"Haematological/Immunological conditions",9,"62261000006118","49472006","1216683014","cleansedreadcode"
"D011000","Vitamin B12 deficiency anaemia","32953","Vitamin B12 deficiency anaemia due to dietary causes","Diagnosis of Vitamin B12 deficiency anaemia",211,"Haematological/Immunological conditions",9,"399201018","267517008","399201018","cleansedreadcode"
"D011011","Vitamin B12 deficiency anaemia","72895","Imerslund - Grasbeck syndrome","Diagnosis of Vitamin B12 deficiency anaemia",211,"Haematological/Immunological conditions",9,"223501000000118","234363001","351115018","cleansedreadcode"
"D011013","Vitamin B12 deficiency anaemia","69275","Vegan's anaemia","Diagnosis of Vitamin B12 deficiency anaemia",211,"Haematological/Immunological conditions",9,"351104011","234360003","351104011","cleansedreadcode"
"D011100","Vitamin B12 deficiency anaemia","2482","Vit B12 defic anaemia due to malabsorption with proteinuria","Diagnosis of Vitamin B12 deficiency anaemia",211,"Haematological/Immunological conditions",9,"62031000006117","191142007","293918016","cleansedreadcode"
"D011200","Vitamin B12 deficiency anaemia","62637","Transcobalamin II deficiency","Diagnosis of Vitamin B12 deficiency anaemia",211,"Haematological/Immunological conditions",9,"356607016","237934001","356607016","cleansedreadcode"
"D011X00","Vitamin B12 deficiency anaemia","6028","Vitamin B12 deficiency anaemia, unspecified","Diagnosis of Vitamin B12 deficiency anaemia",211,"Haematological/Immunological conditions",9,"62281000006111","49472006","495414010","cleansedreadcode"
"D011z00","Vitamin B12 deficiency anaemia","31270","Other vitamin B12 deficiency anaemia NOS","Diagnosis of Vitamin B12 deficiency anaemia",211,"Haematological/Immunological conditions",9,"293924010","49472006","495412014","cleansedreadcode"
"D013000","Vitamin B12 deficiency anaemia","22715","Combined B12 and folate deficiency anaemia","Diagnosis of Vitamin B12 deficiency anaemia",211,"Haematological/Immunological conditions",9,"293948018","191154007","293948018","cleansedreadcode"
"Dyu0100","Vitamin B12 deficiency anaemia","47952","[X]Other dietary vitamin B12 deficiency anaemia","Diagnosis of Vitamin B12 deficiency anaemia",211,"Haematological/Immunological conditions",9,"294568012","267517008","399201018","cleansedreadcode"
"Dyu0200","Vitamin B12 deficiency anaemia","35092","[X]Other vitamin B12 deficiency anaemias","Diagnosis of Vitamin B12 deficiency anaemia",211,"Haematological/Immunological conditions",9,"294571016","49472006","495412014","cleansedreadcode"
"Dyu0600","Vitamin B12 deficiency anaemia","53846","[X]Vitamin B12 deficiency anaemia, unspecified","Diagnosis of Vitamin B12 deficiency anaemia",211,"Haematological/Immunological conditions",9,"294579019","49472006","495414010","cleansedreadcode"
"F11x600","Vitamin B12 deficiency anaemia","24581","Cerebral degeneration due to vitamin B12 deficiency","Vitamin B12 deficiency",211,"Haematological/Immunological conditions",9,"297018015","192817003","297018015","cleansedreadcode"
"F162.00","Vitamin B12 deficiency anaemia","7736","Subacute combined degeneration of spinal cord","Vitamin B12 deficiency",211,"Haematological/Immunological conditions",9,"100638016","60576007","498788015","cleansedreadcode"
"F381500","Vitamin B12 deficiency anaemia","56973","Myasthenic syndrome due to pernicious anaemia","Diagnosis of Vitamin B12 deficiency anaemia",211,"Haematological/Immunological conditions",9,"297589013","193213003","297589013","cleansedreadcode"
"","Vitamin B12 deficiency anaemia","","reticulcytosis after b12","Diagnosis of Vitamin B12 deficiency anaemia",211,"Haematological/Immunological conditions",9,"12451821000006116","170824004","264786019","originalreadcode"
NA,"Vitamin B12 deficiency anaemia",NA,"Vitamin B12 injection due",NA,211,"Haematological/Immunological conditions",9,"1842071000006112","1842071000006108","1842071000006112","termsearch"
NA,"Vitamin B12 deficiency anaemia",NA,"[RFC] Pernicious anaemia",NA,211,"Haematological/Immunological conditions",9,"906551000006112","906551000006108","906551000006112","termsearch"
NA,"Vitamin B12 deficiency anaemia",NA,"Other vit B12 defic. anaemia",NA,211,"Haematological/Immunological conditions",9,"881941000006116","49472006","881941000006116","termsearch"
